frame 1:(118.539,71.9654),(112.607,95.9299),(119.241,170.008),(138.68,240.634),(131.009,260.016),(175.989,268.994),(193.004,257.003)
frame 2:(119.129,71.8988),(113.274,95.9596),(119.578,170.013),(138.899,241.007),(131.234,260.022),(176.031,269.072),(193.129,257.002)
frame 3:(119.729,71.8654),(113.646,95.8399),(119.579,170.012),(138.899,241.007),(131.034,260.017),(176.03,269.073),(193.127,257.035)
frame 4:(120.156,71.6339),(114.089,95.8757),(120.068,170.005),(138.811,241.929),(131.128,260.033),(176.029,269.074),(193.228,257.039)
frame 5:(120.733,71.603),(114.564,95.7282),(120.306,169.998),(138.811,241.929),(131.341,260.114),(176.029,269.073),(193.228,257.039)
frame 6:(121.11,71.762),(114.859,95.8579),(120.431,170.024),(138.874,241.788),(131.206,260.131),(176.061,269.097),(193.258,257.141)
frame 7:(121.588,71.5626),(115.278,95.684),(120.721,170.031),(139.171,240.987),(131.206,260.131),(176.062,269.094),(193.258,257.141)
frame 8:(121.883,71.7551),(115.537,95.689),(120.721,170.031),(139.188,240.862),(131.204,260.132),(176.019,269.227),(193.259,257.17)
frame 9:(122.59,71.5597),(115.846,95.6454),(120.946,169.79),(139.215,241.727),(131.204,260.132),(176.018,269.246),(193.383,257.161)
frame 10:(122.856,71.5631),(116.293,95.664),(121.216,170.002),(138.868,242.25),(131.204,260.131),(175.999,269.262),(193.246,257.21)
frame 11:(123.361,71.6609),(116.555,95.908),(121.211,169.999),(138.868,242.25),(131.204,260.131),(176.003,269.258),(193.246,257.21)
frame 12:(123.597,71.6544),(116.797,95.6071),(121.434,170.01),(138.868,242.25),(131.204,260.131),(176.003,269.258),(193.246,257.21)
frame 13:(123.803,71.7046),(117.049,95.7446),(121.696,170.005),(138.868,242.251),(131.204,260.131),(175.891,269.225),(193.246,257.21)
frame 14:(124.301,71.5387),(117.431,95.7113),(121.696,170.005),(139.171,242.222),(131.188,260.134),(175.891,269.225),(193.246,257.21)
frame 15:(124.306,71.5006),(117.7,95.7097),(121.942,170.244),(138.678,243.1),(131.192,260.139),(175.891,269.225),(193.246,257.21)
frame 16:(124.858,71.7151),(118.031,95.6022),(121.944,170.245),(139.167,242.23),(131.189,260.138),(175.903,269.442),(193.247,257.251)
frame 17:(125.26,71.5955),(118.182,95.7736),(122.181,170.242),(139.08,242.665),(131.208,260.426),(175.884,269.392),(193.25,257.252)
frame 18:(125.643,71.8285),(118.444,95.7686),(122.491,170.241),(139.231,242.151),(131.209,260.426),(175.884,269.405),(193.243,257.344)
frame 19:(125.763,71.8745),(118.8,95.7022),(122.65,170.258),(139.231,242.152),(131.209,260.426),(175.878,269.424),(193.249,257.554)
frame 20:(126.12,71.8826),(119.159,95.7942),(122.704,170.514),(139.231,242.152),(131.209,260.426),(175.878,269.424),(193.248,257.555)
frame 21:(126.448,72.0222),(119.42,95.9125),(122.946,170.515),(139.231,242.152),(131.211,260.432),(176.059,269.575),(193.361,257.611)
frame 22:(126.692,72.1001),(122.263,98.3079),(123.114,170.618),(139.231,242.152),(131.211,260.432),(175.886,269.536),(193.443,257.633)
frame 23:(126.836,72.2706),(123.044,97.3788),(123.116,170.62),(139.01,242.871),(131.211,260.432),(175.937,269.532),(193.442,257.633)
frame 24:(127.161,72.1064),(123.247,97.4639),(123.363,170.884),(139.232,242.219),(131.211,260.432),(175.937,269.532),(193.442,257.633)
frame 25:(127.406,72.2141),(123.645,97.4849),(123.358,170.886),(139.232,242.219),(131.211,260.432),(175.932,269.56),(193.456,257.87)
frame 26:(127.824,72.2125),(123.26,97.9784),(123.651,170.614),(139.232,242.219),(131.211,260.432),(175.931,269.56),(193.445,257.637)
frame 27:(128.053,72.2668),(123.46,98.1054),(123.66,170.711),(139.11,242.994),(131.211,260.431),(175.932,269.56),(193.459,257.874)
frame 28:(128.12,72.2249),(124.282,97.6672),(123.66,170.711),(139.151,242.824),(131.193,260.639),(175.931,269.56),(193.473,257.656)
frame 29:(128.444,72.3572),(124.537,97.6625),(123.904,171.047),(139.106,243.544),(131.193,260.639),(175.877,269.706),(193.463,257.889)
frame 30:(128.866,72.3554),(124.771,97.5779),(123.925,171.043),(139.14,242.854),(131.194,260.639),(175.876,269.704),(193.463,257.888)
frame 31:(129.033,72.4866),(124.252,98.3228),(123.921,171.278),(139.051,240.567),(131.193,260.639),(175.875,269.728),(193.46,257.887)
frame 32:(129.339,72.6188),(125.146,97.3845),(124.211,171.217),(139.141,243.455),(131.194,260.875),(175.927,269.842),(193.685,258.068)
frame 33:(129.6,72.6263),(125.298,97.5357),(124.295,171.411),(139.14,243.455),(131.197,260.879),(175.927,269.842),(193.519,258.071)
frame 34:(129.863,72.6717),(125.035,98.4139),(124.326,171.184),(139.14,243.455),(131.175,260.8),(175.923,269.861),(193.519,258.071)
frame 35:(130.343,72.6617),(124.067,99.537),(124.602,171.442),(139.11,241.172),(130.999,260.79),(175.949,269.897),(193.519,258.071)
frame 36:(130.695,72.8739),(126.277,97.5523),(127.741,172.873),(139.21,243.179),(130.993,260.777),(175.927,269.906),(193.47,258.039)
frame 37:(130.933,72.6345),(126.394,98.0623),(128.317,172.391),(139.426,243.553),(131.206,260.765),(175.811,269.869),(193.469,258.038)
frame 38:(131.175,72.8761),(126.466,97.9791),(127.597,173.369),(139.426,243.553),(130.993,260.777),(175.926,269.906),(193.469,258.038)
frame 39:(131.478,72.8751),(127.287,97.4695),(128.003,172.891),(139.426,243.553),(130.993,260.777),(175.926,269.906),(193.469,258.038)
frame 40:(131.992,72.8839),(127.277,97.7847),(129.102,171),(139.385,243.719),(130.993,260.777),(175.926,269.906),(193.469,258.038)
frame 41:(132.496,72.9057),(127.352,98.515),(129.361,169.808),(139.385,243.719),(130.993,260.777),(175.926,269.906),(193.469,258.038)
frame 42:(132.782,72.9306),(128.087,98.0699),(129.223,169.688),(139.385,243.719),(130.993,260.777),(175.82,269.861),(193.469,258.038)
frame 43:(133.386,72.9077),(128.47,98.7282),(129.533,172.03),(139.387,243.715),(130.993,260.777),(175.879,269.891),(193.469,258.038)
frame 44:(133.821,73.1175),(129.316,97.6563),(129.548,172.023),(139.387,243.715),(130.993,260.777),(175.879,269.891),(193.469,258.038)
frame 45:(134.072,73.1254),(129.212,98.2769),(129.947,172.107),(139.387,243.715),(130.979,260.818),(175.879,269.891),(193.469,258.038)
frame 46:(134.563,73.1208),(129.564,98.4554),(130.195,170.989),(139.387,243.715),(130.979,260.818),(175.894,269.875),(193.469,258.038)
frame 47:(134.827,73.3665),(130.47,97.7157),(130.661,171.493),(139.387,243.715),(130.979,260.818),(175.894,269.875),(193.469,258.038)
frame 48:(135.302,73.3577),(130.934,97.7937),(130.661,171.493),(139.741,242.448),(130.979,260.818),(175.904,269.88),(193.623,258.028)
frame 49:(135.831,73.3545),(131.105,98.0959),(131.058,172.56),(139.55,241.673),(130.977,260.819),(176.128,269.692),(193.584,258.051)
frame 50:(136.299,73.354),(131.736,97.9831),(131.128,171.689),(139.718,243.212),(131.187,260.814),(176.101,269.722),(193.584,258.051)
frame 51:(136.819,73.3568),(131.289,98.6416),(131.438,171.627),(139.631,243.643),(131.19,260.812),(176.083,269.624),(193.584,258.05)
frame 52:(137.297,73.3568),(131.6,99.3187),(131.678,171.652),(139.631,243.643),(130.994,260.564),(176.09,269.456),(193.755,258.014)
frame 53:(137.759,73.4744),(132.443,98.3965),(131.89,171.752),(139.994,242.85),(130.994,260.563),(176.014,269.483),(193.747,257.812)
frame 54:(138.15,73.4799),(132.409,98.8662),(132.207,171.877),(139.993,242.853),(130.993,260.563),(176.014,269.483),(193.747,257.812)
frame 55:(138.402,73.4813),(133.091,98.5026),(132.428,172.135),(139.993,242.853),(130.994,260.563),(176.036,269.457),(193.747,257.812)
frame 56:(138.789,73.4436),(132.473,99.7124),(132.392,172.258),(139.994,242.858),(130.994,260.564),(176.028,269.466),(193.747,257.812)
frame 57:(139.19,73.7391),(132.464,100.25),(132.676,172.003),(139.993,242.836),(130.994,260.37),(176.015,269.531),(193.747,257.812)
frame 58:(139.694,73.571),(133.46,99.7357),(133.242,172.046),(139.993,242.836),(130.972,260.497),(176.015,269.531),(193.753,257.817)
frame 59:(140.105,73.6699),(133.234,100.275),(133.204,171.812),(139.992,242.853),(130.976,260.501),(176.026,269.518),(193.753,257.817)
frame 60:(140.337,73.6799),(133.607,100.381),(133.441,171.912),(139.992,242.853),(130.978,260.499),(176.026,269.518),(193.753,257.816)
frame 61:(140.85,73.9047),(135.136,98.9622),(133.442,172.253),(139.992,242.854),(130.978,260.499),(176.032,269.523),(193.753,257.816)
frame 62:(141.095,73.9111),(135.071,99.4391),(133.441,172.256),(139.985,242.876),(130.978,260.499),(176.032,269.523),(193.753,257.816)
frame 63:(141.343,73.9077),(135.418,99.3499),(133.908,172.082),(139.986,242.885),(130.963,260.508),(176.03,269.526),(193.753,257.816)
frame 64:(141.837,73.9984),(135.805,99.4772),(133.908,172.081),(139.63,240.496),(130.902,260.506),(176.03,269.525),(193.725,257.817)
frame 65:(142.192,73.9872),(136.292,99.4602),(134.457,172.162),(139.63,240.496),(130.965,260.511),(176.03,269.526),(193.725,257.817)
frame 66:(142.616,74.0314),(137.21,97.5193),(133.96,170.951),(139.166,239.435),(130.959,260.438),(176.008,269.544),(193.652,257.805)
